npc_id,world_id,name_jp,name_en,role,dark_role,x,y,facing,npc_type,phase_count,clue_ids,shop_id,service_id,personality_note,initial_dialogue_jp,notes
NPC-VIL-011,VIL,フウ,Fuu,乳搾り手,家畜が塔側を見ないことに気づいている,27,28,right,minor,4,CL-003,,,"観察力がある若者",あの子たち、柵の北だけは毛を擦らないの。不思議でしょ。,開始村
NPC-VIL-012,VIL,マグサ,Magusa,猟師,失踪を「数え直された」と表現する,52,12,down,key,4,CL-002,,,"臆病だが事情通",消えた、じゃない。減った。……数え直されたんだ。,開始村
NPC-VIL-013,VIL,ツキヨ,Tsukiyo,道具屋の婆,村外の品に混じる異世界の痕跡を知る,50,34,down,merchant,2,,SHP-VIL-001,,"商売熱心だが古い品には妙に詳しい",いらっしゃい。……その札？　前の仕入れに混じってたんだよ。,開始村道具屋
NPC-VIL-014,VIL,タマキ,Tamaki,薬草婆,古い供養草の使い道を知る唯一の人,62,44,left,healer,2,,SHP-VIL-002,SVC-VIL-HEAL,"穏やかで少し耳が遠い",痛いところがあるなら診てやるよ。……塔の傷は、診れないけどね。,開始村回復屋
NPC-VIL-015,VIL,ゴンタ,Gonta,畜舎の手伝い,ドモンの甥。梁の傷を数えてしまった,32,29,left,minor,1,,,,"素直だが怖がり",おじさんが黙ってるとき、僕も黙るようにしてる。,開始村
NPC-VIL-016,VIL,ハナビ,Hanabi,洗い場の娘,井戸の水音が変わる夜がある,42,33,right,minor,1,,,,"明るいが夜の話を嫌がる",夜は井戸に近づかないの。水音が……変わるから。,開始村
NPC-VIL-017,VIL,コウヤ,Kouya,老大工,北道の古い杭を打ち直した経験がある,48,20,down,minor,2,CL-005,,,"頑固で口が悪い",杭を打ち直すたびに字が増える。誰が書いてるんだか。,開始村
NPC-VIL-018,VIL,ミツル,Mitsuru,旅の行商人,村に定期的に来る外部者,46,55,up,merchant,2,,SHP-VIL-003,,"愛想がいいが深入りしない",珍しいもの入ったよ。……この村、いつ来ても静かだねえ。,開始村・巡回商人
NPC-VIL-019,VIL,ユキエ,Yukie,カジの義母,失踪した息子のことを語らない,70,37,down,minor,2,CL-001,,,"寡黙で表情が薄い",……。あの子のことは聞かないで。,開始村
NPC-VIL-020,VIL,ソラ,Sora,走り回る子ども,ヨヒラの遊び相手,51,30,right,mob,1,,,,"元気だが大人の真似をする",ナツセばあちゃんが「数えるな」って言ってた！,開始村
NPC-W01-001,W-001,アヤ,Aya,継札番,所属を上書きする制度の入口,29,21,down,key,3,"CL-007,CL-008",,,"事務的だが根は優しい",借り名は三日で馴染む。……馴染まなかった人のことは、聞かないで。,名伏せの野
NPC-W01-002,W-001,ハギ,Hagi,柵守,柵は外敵より人を留めるため,19,25,right,key,3,CL-008,,,"寡黙な番人",柵の向きを見ろ。……外を防ぐ形じゃないだろ。,名伏せの野
NPC-W01-003,W-001,ネマ,Nema,鈴結い,鈴の音で個体を数える思想,36,18,left,key,3,CL-007,,,"穏やかで手仕事が好き",鈴を結ぶのは名前の代わり。音で誰か分かるようにね。,名伏せの野
NPC-W01-004,W-001,トロ,Toro,役名だけの少年,真名を知らされていない,24,28,down,key,4,CL-007,,,"好奇心旺盛で寂しがり",おれの名前？　「トロ」だよ。……本当の名前は知らない。,名伏せの野・clue直結
NPC-W01-005,W-001,カセ,Kase,外来の修繕屋,別世界の名隠し文化を知る,11,27,right,minor,2,,,,"飄々としたよそ者",どこへ行っても名前の扱いは面倒だ。ここだけじゃないさ。,名伏せの野
NPC-W01-006,W-001,ミシロ,Mishiro,祠番,儀式の意味を半分だけ知る,20,8,up,key,3,CL-009,,,"慎重で言葉を選ぶ",祠の奥は見ない方がいい。……理由は、半分しか知らない。,名伏せの野
NPC-W01-007,W-001,無銘の番人,Nameless Keeper,門前の無言者,失踪者の変奏を匂わせる存在,23,12,down,key,2,CL-009,,,"一切喋らない。身振りだけ",……。,名伏せの野・門前演出
NPC-W01-008,W-001,コマリ,Komari,牧童の娘,借り名の期限が近い子,32,24,left,minor,2,,,,"不安を隠して明るく振る舞う",あと七日で札が変わるの。……変わったら、前の私はどこへ行くんだろ。,名伏せの野
NPC-W01-009,W-001,ゲンバ,Genba,道具屋の老爺,札の素材を売りつつ制度を支える,30,20,down,merchant,2,,SHP-W01-001,,"ぶっきらぼうだが親切",札の木は選ばないと持たない。名前と同じだ。,名伏せの野・道具屋
NPC-W01-010,W-001,ヌイ,Nui,薬草売りの女,湿名の葦原の薬草を扱う,35,22,right,healer,2,,SHP-W01-002,SVC-W01-HEAL,"物静かで薬の知識が深い",葦原の草は名を吸う。だから効くんだよ。,名伏せの野・回復
NPC-W02-001,W-002,オオネ,Oone,第一母屋の当主,薄印の孫を別家の乳母線へ移した,28,18,down,key,3,CL-011,,,"威厳があり有無を言わせない",谷の筋は乳で決まる。それが嫌なら谷を出な。,灰乳の谷
NPC-W02-002,W-002,シキ,Shiki,乳母頭,借り乳布で判定を一度すり替えた,22,24,left,key,3,"CL-011,CL-012",,,"温かいが秘密を抱える",あの子を助けたのは間違いじゃなかった。……たぶん。,灰乳の谷
NPC-W02-003,W-002,トガ,Toga,灰挽き男,濃灰粉を裏で売り判定を揺らす,35,30,right,key,3,CL-012,,,"卑屈だが頭が切れる",灰の濃さなんて匙加減だ。誰もそれを言わないだけさ。,灰乳の谷
NPC-W02-004,W-002,ユナ,Yuna,谷下の娘,自分の灰印片に姉の幼名も記される,18,32,up,key,4,CL-012,,,"芯が強く反骨心がある",私の印に姉の名が混じってる。……どういう意味か、分かるでしょ。,灰乳の谷
NPC-W02-005,W-002,ムロ,Muro,乳搾り老人,判乳鉢の縁の減りに気づいている,26,28,down,minor,2,CL-055,,,"温厚だが観察力がある",鉢の縁がね、片方だけ薄いんだ。使い方が偏ってるのさ。,灰乳の谷
NPC-W02-006,W-002,ヨシ,Yoshi,乾酪売り,乳製品に灰印の色が残る,30,22,left,merchant,2,,SHP-W02-001,,"愛想がいい商売人",うちの酪は谷一番。……色が変わるのは塩のせいだよ、たぶん。,灰乳の谷・道具屋
NPC-W02-007,W-002,ツバキ,Tsubaki,産婆,判乳の手順を最もよく知る,20,20,right,healer,2,,SHP-W02-002,SVC-W02-HEAL,"厳格だが母性がある",三日待つのは決まりだ。……急かす家ほど、後で困る。,灰乳の谷・回復
NPC-W02-008,W-002,コガネ,Kogane,谷下の子ども,薄印を気にせず遊ぶ,16,34,down,mob,1,,,,"屈託がない",おねえちゃんの印、きれいな色だよ？　なんでダメなの？,灰乳の谷
NPC-W03-001,W-003,トモエ,Tomoe,宿の女将,溺死した息子の役名をまだ貸している,32,24,down,key,4,"CL-013,CL-056",,,"気丈で商売上手。息子の話だけ声が揺れる",お泊まりかい？　名前は……灯番号で結構だよ。,継灯の宿場
NPC-W03-002,W-003,カナギ,Kanagi,厩番,客の本名を兄の字で書く,18,30,right,key,3,CL-013,,,"内向的で兄への複雑な感情を持つ",馬の世話なら任せてくれ。……帳面の字？　兄の癖が抜けないんだ。,継灯の宿場
NPC-W03-003,W-003,ホソ,Hoso,写本師兼運脚仲介,逃亡者の役名を高値で転写する,40,20,left,key,3,CL-014,,,"人当たりよく腹黒い",写しは正確に。……ただし、元が正確かは知らないよ。,継灯の宿場
NPC-W03-004,W-003,ミレ,Mire,裏庭の寝具係,消えた客の荷から家書を抜いて読む,28,34,up,key,3,CL-013,,,"控えめだが好奇心が強い",消えた客の荷をまとめるの、私の仕事。……手紙だけは、読んじゃう。,継灯の宿場
NPC-W03-005,W-003,リキマル,Rikimaru,灯番,灯油の残量で客の滞在を管理する,36,22,down,minor,2,CL-056,,,"几帳面で融通が利かない",灯が消えたら出立。それが決まりだ。,継灯の宿場
NPC-W03-006,W-003,イナホ,Inaho,飯炊き女,宿の賄いをしつつ客の会話を聞く,30,26,right,minor,2,,,,"おしゃべりで情報通",あの客、寝言で本名を言ってたよ。……怖いねえ。,継灯の宿場
NPC-W03-007,W-003,サブロ,Saburo,荷継ぎの若者,荷の中に異世界の札が混じることがある,22,28,left,minor,2,,,,"体力自慢で単純",荷の中にたまに変な札が入ってる。……捨てていいのか迷うんだ。,継灯の宿場
NPC-W03-008,W-003,タエ,Tae,道具屋の女主人,旅人向けの装備と灯油を売る,34,18,down,merchant,2,,SHP-W03-001,,"世話焼きで値段は正直",灯油は切らすなよ。暗い道で名前を呼ばれたら終わりだ。,継灯の宿場・道具屋
NPC-W03-009,W-003,ゲンノスケ,Gennosuke,薬湯の主人,旅の疲れを癒す湯屋を営む,38,26,right,healer,2,,SHP-W03-002,SVC-W03-HEAL,"豪快で声が大きい",湯に浸かれば名前なんて忘れる。……いい意味でな。,継灯の宿場・回復
NPC-W03-010,W-003,ナミ,Nami,宿場の子ども,客の灯番号を覚えて遊ぶ,26,22,down,mob,1,,,,"人懐っこい",おじさんの番号、覚えたよ！　名前は……知らないけど。,継灯の宿場
NPC-W03-011,W-003,チヨ,Chiyo,老婆の灯守,古い灯番号の台帳を管理する,35,30,left,minor,2,CL-056,,,"記憶力がよく昔話が好き",この番号、三十年前にも使われてた。……同じ人じゃないよ、たぶん。,継灯の宿場
NPC-W03-012,W-003,モンド,Mondo,用心棒,宿場の治安を守る雇われ,20,24,up,minor,1,,,,"寡黙で腕が立つ",名前は聞かない。それがここの礼儀だ。,継灯の宿場
NPC-W04-001,W-004,サジリ,Sajiri,若い検札副官,clean判定を金で早めた記録を消している,36,16,down,key,4,"CL-015,CL-016",,,"野心的で要領がいい",札を見せろ。……色が合ってれば通す。理由は聞くな。,札差しの岬
NPC-W04-002,W-004,ヘンリ,Henri,鐘番,疑い札の妻を岬から出したい,28,12,left,key,3,CL-016,,,"穏やかだが追い詰められている",鐘は嘘をつかない。……でも、鳴る順番は変えられる。,札差しの岬
NPC-W04-003,W-004,イダ,Ida,印削り職人,期限切れclean passを灰札へ化粧直し,42,22,right,key,3,CL-015,,,"職人気質で口が堅い",削りの腕がいいと、古い札も新しく見える。……それだけの話さ。,札差しの岬
NPC-W04-004,W-004,マツホ,Matsuho,夜漁の女,黒札の人間を対岸へ運び名も聞かない,20,28,up,key,4,CL-057,,,"肝が据わっていて情に厚い",夜の海は名前なんて聞かない。……私もな。,札差しの岬
NPC-W04-005,W-004,リゼ,Rize,検潮書記,潮位記録と所属照合を兼務する,38,18,down,minor,2,CL-016,,,"真面目だが疑問を持ち始めている",潮位と人の記録が同じ棚にある。……変だと思わないか？,札差しの岬
NPC-W04-006,W-004,ウシオ,Ushio,港医見習い,検疫と人の選別の境目を見ている,32,24,left,minor,2,,,,"若くて理想主義",病を診るのが仕事なのに、札の色で診る順番が変わるんだ。,札差しの岬
NPC-W04-007,W-004,ドウザ,Douza,潮待ち宿の主人,黒札客を密かに泊める,24,20,right,merchant,2,,SHP-W04-001,,"世渡り上手で二枚舌",泊まるなら白札側がいいよ。……灰側は、まあ、安いけどね。,札差しの岬・道具屋
NPC-W04-008,W-004,フジコ,Fujiko,灯台守の妻,岬の薬草と応急手当を担う,44,14,down,healer,2,,SHP-W04-002,SVC-W04-HEAL,"おおらかで裏表がない",怪我なら診てあげる。札の色は関係ないよ。,札差しの岬・回復
NPC-W04-009,W-004,タカシ,Takashi,裏舟の漁師,マツホの知人。闇航路を知る,18,30,up,minor,2,,,,"口数少なく警戒心が強い",名前を聞くな。……聞いたら、もう乗せない。,札差しの岬
NPC-W04-010,W-004,ミキ,Miki,関所の子ども,札の色で人を区別する遊びをする,30,16,down,mob,1,,,,"無邪気に残酷",白い人は上、黒い人は下！　ごっこ遊びだよ？,札差しの岬
NPC-W04-011,W-004,オキナ,Okina,老検札官,制度の歪みを知りつつ退官間近,40,12,left,minor,2,CL-015,,,"疲れた目をしている",若い頃は正しいと思ってた。……今は、分からん。,札差しの岬
NPC-W04-012,W-004,シマ,Shima,積荷改めの女,荷物と人の扱いの差に疑問を持つ,34,26,right,minor,1,,,,"手際がよく観察力がある",荷には全部札が付く。人にも。……同じだろ、やってることは。,札差しの岬
NPC-W05-001,W-005,シズナ,Shizuna,墓守頭,空碑の一つに夫の名を刻めずにいる,24,18,down,key,4,"CL-017,CL-018",,,"穏やかだが芯が折れない",閉じた、と言うのが決まりだ。……死んだ、とは言わない。,香なしの墓苑
NPC-W05-002,W-005,マコ,Mako,若い未亡人,夫の器を毎朝一つ余分に出す,30,24,right,key,3,CL-017,,,"健気で静かな怒りを秘める",器を一つ多く出すのは癖。……待ってるわけじゃない。待ってるけど。,香なしの墓苑
NPC-W05-003,W-005,ガエン,Gaen,供香売り,無煙供香で閉じた扱いを早める,18,22,left,key,3,CL-018,,,"商才があり信仰を商売にする",香を焚かないのが正しい弔い。……でも、焚きたい人には売るよ。,香なしの墓苑
NPC-W05-004,W-005,イチル,Ichiru,石工,いくつかの空碑に薄い刻みを残す,36,20,up,key,3,CL-058,,,"不器用で正直者",削る仕事なのに、たまに残したくなる。……名前をさ。,香なしの墓苑
NPC-W05-005,W-005,コズエ,Kozue,灰水路の番人,墓地の水路を管理する,28,28,down,minor,2,,,,"寡黙で責任感が強い",水は上から下へ流れる。名前もそうだ。……上へは戻らない。,香なしの墓苑
NPC-W05-006,W-005,タケル,Takeru,道具屋兼墓参り道具売り,供物と掃除道具を売る,22,16,right,merchant,2,,SHP-W05-001,,"実直な商人",花は供えるが香は焚くな。それだけ守ってくれ。,香なしの墓苑・道具屋
NPC-W05-007,W-005,カヤ,Kaya,薬草摘みの女,墓地周辺の薬草で治療する,34,26,left,healer,2,,SHP-W05-002,SVC-W05-HEAL,"物静かで優しい",墓の近くの草ほどよく効く。……理由は聞かないで。,香なしの墓苑・回復
NPC-W05-008,W-005,リョウ,Ryou,墓掃きの少年,空碑の数を正確に覚えている,26,20,down,mob,1,,,,"素直で記憶力がいい",空の碑、今は十七。……先月は十六だったよ。,香なしの墓苑
NPC-W06-001,W-006,ハユ,Hayu,結縄婆,行方不明の娘の結びだけ切れない,28,20,down,key,4,"CL-019,CL-020",,,"頑固で情が深い",結び目は命。ほどいたら……もう、戻せない。,鈴結びの湿地
NPC-W06-002,W-006,ロク,Roku,税縄計り,縄税を軽くする代わりに符号を消した,36,24,right,key,3,CL-059,,,"計算高く世渡り上手",税は縄で数える。……数が合わないのは、まあ、湿気のせいだ。,鈴結びの湿地
NPC-W06-003,W-006,ネリ,Neri,渡し舟の娘,兄の鈴筒を別家の符号で彫った,18,28,left,key,4,"CL-019,CL-060",,,"行動的で兄思い",兄の鈴を家に戻したいの。……符号が違うから、認めてもらえない。,鈴結びの湿地
NPC-W06-004,W-006,セイカ,Seika,巡回祈祷師,安い借り鈴を正式な慰撫と偽って売る,32,16,up,key,3,CL-020,,,"穏やかな声だが目が冷たい",鈴の音は魂を呼ぶ。……正式なものでなければ、届かないよ。,鈴結びの湿地
NPC-W06-005,W-006,アシオ,Ashio,葦編み職人,結縄橋の補修をしつつ古い符号を見る,24,22,down,minor,2,CL-059,,,"職人気質で寡黙",橋桁の符号、何十年も前のだ。……誰のか分からないのが一番多い。,鈴結びの湿地
NPC-W06-006,W-006,タマエ,Tamae,鈴修理屋,古い鈴の音色から持ち主を推測する,30,18,right,merchant,2,,SHP-W06-001,,"手先が器用で話好き",鈴の音は一つずつ違う。修理しても、前の音には戻らないけどね。,鈴結びの湿地・道具屋
NPC-W06-007,W-006,ユウリ,Yuuri,湿地の薬師,湿地の薬草と鈴の音で治療する,34,28,left,healer,2,,SHP-W06-002,SVC-W06-HEAL,"穏やかで少し変わり者",鈴の音を聞きながら薬を煎じると、よく効くんだ。,鈴結びの湿地・回復
NPC-W06-008,W-006,コハル,Koharu,結縄見習いの少女,余り結びの意味を知りたがる,22,26,down,mob,1,,,,"好奇心旺盛で大人を困らせる",この結び、誰のか知ってる？　おばあちゃんに聞いても教えてくれない。,鈴結びの湿地
NPC-W06-009,W-006,モズ,Mozu,湿地渡しの老爺,沈み社への水路を知る唯一の人,20,30,up,minor,2,,,,"老練で口数少ない",沈み社への道は水が決める。……人が決めるもんじゃない。,鈴結びの湿地
NPC-W06-010,W-006,ヒグラシ,Higurashi,祈祷会の下働き,セイカの不正に気づいている,28,14,right,minor,2,CL-020,,,"臆病だが正義感がある",借り鈴と本鈴の音、違うの分かるんだけど……言えなくて。,鈴結びの湿地
NPC-W07-001,W-007,エンガ,Enga,badge仲買,娘を上層へ嫁がせたい。死者の役名を貸す,40,32,down,key,4,"CL-021,CL-056",,,"商才に長け人を値踏みする",badge一枚で人生が変わる。……変わらない人生もある。それは値がつかない。,削名の階市
NPC-W07-002,W-007,ソウジ,Souji,運び人,失った役名を取り戻したい,28,40,right,key,3,"CL-021,CL-062",,,"実直で不器用。階段を上がれない苦しみ",荷は上へ運べる。でも、俺自身は上がれない。……badge がないから。,削名の階市
NPC-W07-003,W-007,ミヤ,Miya,祖棚番,先祖棚と役名棚を同じ帳面で管理,36,24,left,key,3,"CL-022,CL-061",,,"厳格で制度を信じている",棚の位置は血と役の両方で決まる。……混ぜるなと言われても、もう混ざってる。,削名の階市
NPC-W07-004,W-007,リクホ,Rikuho,監査走り,下層生まれで本名を完全に消せない,44,28,up,key,4,CL-062,,,"鋭くて野心的。出自を隠す緊張感",監査は公正にやる。……出自を聞くな。badge だけ見ろ。,削名の階市
NPC-W07-005,W-007,ニシカ,Nishika,badge工房の親方,階位章の鋳造を独占する,32,20,down,minor,2,CL-061,,,"誇り高い職人",badge は俺が作る。……誰に渡すかは、俺の知るところじゃない。,削名の階市
NPC-W07-006,W-007,コウ,Kou,下層の代書屋,下層民の書類仕事を引き受ける,24,44,right,minor,2,,,,"皮肉屋だが情がある",字が書けない奴の代わりに書く。……何を書くかは聞くな。,削名の階市
NPC-W07-007,W-007,フミノ,Fumino,上層の令嬢,badge の意味を疑い始めた若者,42,16,left,minor,2,CL-022,,,"品があるが内心反発している",この badge で私は上にいる。でも、下にいた頃の名前のほうが本物だった。,削名の階市
NPC-W07-008,W-007,テツゾウ,Tetsuzou,階段の道具屋,階層ごとに品揃えが変わる,36,28,down,merchant,2,,SHP-W07-001,,"商才があり階層を熟知",上の品が欲しけりゃ badge を見せな。……なくても売るけど、高くなる。,削名の階市・道具屋
NPC-W07-009,W-007,セツナ,Setsuna,下層の薬師,badge なしでも治療する,26,42,right,healer,2,,SHP-W07-002,SVC-W07-HEAL,"温かく差別を嫌う",痛みに badge は関係ない。誰でも診るよ。,削名の階市・回復
NPC-W07-010,W-007,ガク,Gaku,一夜badge屋,闇で一晩だけのbadgeを売る,30,36,left,minor,2,,,,"にやけた裏商売人",一晩だけ上層を歩きたいだろ？　安くしとくよ。,削名の階市
NPC-W07-011,W-007,タスケ,Tasuke,石段の掃除人,すべての階を行き来できる唯一の職,38,36,up,minor,2,,,,"無欲で階層を俯瞰している",上も下も、掃くゴミは同じだよ。,削名の階市
NPC-W07-012,W-007,モモカ,Momoka,badge売りの少女,エンガの娘。上層への期待と不安,44,32,down,mob,1,,,,"健気で父を信じている",お父さんがいい badge を見つけてくれるって。……本当かな。,削名の階市
NPC-W07-013,W-007,ブンゴ,Bungo,飼育係,闘技用モンスターの世話をする,48,24,right,breeder,2,,SHP-W07-003,SVC-W07-BREED,"モンスターに詳しく人間は苦手",badge のある獣と、ない獣。扱いが違うの、分かるだろ。,削名の階市・牧場
NPC-W08-001,W-008,ドグマ,Doguma,焼印頭,人の仮所属へ獣印規格を流用した,30,18,down,key,4,"CL-023,CL-024",,,"冷徹で効率主義",印があるから数えられる。なければ最初から居ない。……それだけだ。,獣印の放牧環
NPC-W08-002,W-008,リイサ,Riisa,若い牧童,仔獣と拾い子の札輪を一度入れ替えた,22,24,right,key,3,CL-023,,,"優しいが罪悪感を持つ",あの子を助けたかっただけ。……でも、札を替えたのは私だ。,獣印の放牧環
NPC-W08-003,W-008,バセ,Base,耳notch刻み,切り欠き読みを誤魔化して配給をずらす,36,22,left,key,3,CL-024,,,"手先が器用で生活が苦しい",耳の形は一頭ずつ違う。……読み間違えることも、ある。,獣印の放牧環
NPC-W08-004,W-008,モト,Moto,住み込みの仮子,自分の旧notch板を隠し持つ,28,28,up,key,4,CL-023,,,"寡黙で居場所を求めている",家の子として呼ばれたい。……でも、前の印が消えない。,獣印の放牧環
NPC-W08-005,W-008,クロベ,Kurobe,大牧主の番頭,配給輪の管理を仕切る,34,16,down,minor,2,CL-024,,,"威圧的で忠実",印のないものに餌を分けるのは泥棒と同じだ。,獣印の放牧環
NPC-W08-006,W-008,サヤカ,Sayaka,印鉄売り,焼印の道具と飼葉を売る,26,20,right,merchant,2,,SHP-W08-001,,"たくましく商売熱心",いい印鉄が入ったよ。……持ち主が決まる前に買いな。,獣印の放牧環・道具屋
NPC-W08-007,W-008,ヤスジ,Yasuji,牧場の薬師,獣と人を同じ手で治す,32,26,left,healer,2,,SHP-W08-002,SVC-W08-HEAL,"穏やかで区別しない",傷は傷だ。印があろうとなかろうと。,獣印の放牧環・回復
NPC-W08-008,W-008,チカラ,Chikara,放牧環の見張り,環の内外を監視する,20,30,down,mob,1,,,,"真面目だが思考停止している",輪の外は知らない。中だけ守る。それが仕事だ。,獣印の放牧環
NPC-W09-001,W-009,フユネ,Fuyune,婚資監,若い頃自分も養親線を書き換えて嫁いだ,36,20,down,key,4,"CL-025,CL-026",,,"威厳があり自己矛盾を抱える",婚資は本家の血で量る。……私？　私は例外だった。,仮親の雪原
NPC-W09-002,W-009,カスリ,Kasuri,養親の母,預かった子を一人返さず冬名で育てた,24,28,right,key,4,CL-026,,,"温かいが秘密を守り通す強さ",返すのが決まりだった。……でも、あの子は冬を越した。もう、うちの子だ。,仮親の雪原
NPC-W09-003,W-009,ソウマ,Souma,継承候補,どちらの家にも道具扱いされたくない,40,24,left,key,4,CL-025,,,"鬱屈としているが賢い",夏名も冬名も持ってる。でも、どっちの家も俺を名前じゃなくて札で呼ぶ。,仮親の雪原
NPC-W09-004,W-009,エト,Eto,墓歌い,依頼で片方の家の旋律をわざと弱める,30,16,up,key,3,CL-025,,,"芸術家肌で良心がある",歌は正直に歌いたい。……でも、頼まれたら、片方だけ小さくする。,仮親の雪原
NPC-W09-005,W-009,ユキノ,Yukino,雪路案内,冬道と夏道で案内先が変わる,28,32,down,minor,2,,,,"慎重で土地勘がある",冬の道と夏の道は別だ。人の名前みたいにな。,仮親の雪原
NPC-W09-006,W-009,ゲンシロウ,Genshirou,分家書記,本家と分家の帳面を管理する,44,18,right,minor,2,CL-026,,,"几帳面だが良心に悩む",帳面には一人分の枠しかない。……名前が二つある人は、どうすればいい？,仮親の雪原
NPC-W09-007,W-009,ハルカ,Haruka,毛皮売りの女,冬備蓄と毛皮を売る道具屋,32,22,left,merchant,2,,SHP-W09-001,,"逞しく商売上手",毛皮は命を繋ぐ。……名前は繋がなくても冬は越せる。,仮親の雪原・道具屋
NPC-W09-008,W-009,キサラギ,Kisaragi,雪原の医者,凍傷と心の傷を診る,38,28,right,healer,2,,SHP-W09-002,SVC-W09-HEAL,"穏やかで経験豊富",凍傷は治る。……名前の凍傷は、溶かすのに時間がかかる。,仮親の雪原・回復
NPC-W09-009,W-009,コフユ,Kofuyu,仮親宿の子ども,冬名と夏名の違いを素直に疑問に思う,26,26,down,mob,1,,,,"純真で核心を突く",おじさん、冬と夏で名前が変わるの、変だよね？,仮親の雪原
NPC-W09-010,W-009,タケヒコ,Takehiko,本家の若当主,正統を守りたいが現実を知っている,42,14,up,minor,2,CL-025,,,"威厳があるが迷いがある",本家の名は重い。……重すぎて、借りた名で歩く奴の気持ちも分かる。,仮親の雪原
NPC-W09-011,W-009,ミユキ,Miyuki,養親の娘,ソウマの義妹。兄を家族と認めている,22,30,right,minor,2,,,,"明るくて兄思い",兄ちゃんは兄ちゃんだよ。札がなくても。,仮親の雪原
NPC-W09-012,W-009,ワタル,Wataru,飼育係,雪原の獣を預かり育てる,34,30,left,breeder,2,,SHP-W09-003,SVC-W09-BREED,"無口で獣に詳しい",獣は名前で呼ばなくても寄ってくる。……人間は、そうもいかない。,仮親の雪原・牧場
NPC-W10-001,W-010,カグラ,Kagura,塩庫女将,倉の湿り事故を利用して頁を差し替えた,32,20,down,key,4,"CL-027,CL-065",,,"やり手で情に厚い",塩は記録を守る。……湿気は記録を変える。同じ倉でね。,群書の塩庫
NPC-W10-002,W-010,ボソ,Boso,運河運び,濡れた台帳だけ裏の抄本屋へ流す,20,28,right,key,3,CL-027,,,"ずる賢いが小心者",濡れた帳面は捨てるのが決まりだ。……捨て先が二つあるだけさ。,群書の塩庫
NPC-W10-003,W-010,エシナ,Eshina,写本見習い,後補記欄へ未登録者を一人忍ばせる,38,18,left,key,3,CL-028,,,"真面目で罪悪感を持つ",一人だけ。……一人だけ、書き足した。存在しないことにされた人を。,群書の塩庫
NPC-W10-004,W-010,ドレイ,Dorei,港から来た未亡人,夫の別名を知りながら言えない,28,24,up,key,3,CL-027,,,"物静かで芯が強い",夫の名は転出になっている。……本当の名は、もう一つあった。,群書の塩庫
NPC-W10-005,W-010,シンベエ,Shinbee,塩計り,塩の品質と帳面の品質を同じ秤で量る,36,24,down,minor,2,,,,"実直な職人",塩も帳面も乾けば正しい。……湿ったものは信じるな。,群書の塩庫
NPC-W10-006,W-010,ナベ,Nabe,封印具売り,台帳の封印道具と塩を売る,24,16,right,merchant,2,,SHP-W10-001,,"商売熱心で押しが強い",乾燥印、いるだろ？　湿った帳面は法的に半端者だからな。,群書の塩庫・道具屋
