field_interaction_id,field_id,subject_kind,subject_id,priority,condition_key,message_jp,set_flag_key,clue_ids,facility_npc_id,facility_kind,facility_source,transition_field_id,transition_point_id,transition_facing,transition_message_jp,notes
FINT-019,FIELD-VIL-001,point,nameplate_trace,20,always,戸口の木肌だけ色が違う。表札を外した跡の下に、さらに古い削り跡が二層残っている。空き家は一度ではできていない。,nameplate_trace,CL-001,,,,,,,,表札跡 clue
FINT-020,FIELD-VIL-001,point,nameplate_trace,10,flag:nameplate_trace,釘穴が一つ多い。今の家の前にも、ここで別の名が外されたことがある。,,,,,,,,,,表札跡再読
FINT-021,FIELD-VIL-001,point,grave_keeper,20,always,墓守は箒を止めない。『まだ入れる名がないんだ。死んだとも、帰るとも決められない人の分は、ここを空けて待つ』。,grave_keeper_seen,CL-005,,,,,,,,墓守会話
FINT-022,FIELD-VIL-001,point,grave_keeper,10,flag:blank_stone,墓守は空碑の縁を撫でる。『一つの碑に三つぶん待たせてる。そうしないと、村の嘘が増えすぎるからね』。,,,,,,,,,,墓守再読
FINT-101,FIELD-W01-001,point,borrowed_name_rack,10,always,戸口ごとに札束が下がる。ここでは本名より、いま借りている呼び名の方が先に数えられる。,borrowed_name_rack_seen,CL-008,,,,,,,,借り名棚 clue
FINT-102,FIELD-W01-001,point,nameboy,10,always,少年は胸札だけを撫でる。『トロって呼ばれてる。本当の名前は、まだ借りてないんだってさ』。,role_name_boy_heard,CL-007,,,,,,,,役名だけの少年
FINT-103,FIELD-W01-001,point,clerk_aya,10,always,継札番のアヤが札束を揃える。『借り名は三日で馴染む。……馴染まなかった人のことは、聞かないで』。,,,,,,,,,,継札番の導入会話
FINT-104,FIELD-W01-001,point,pasture_sign,10,always,放牧地への杭札。印を付けられた気配ほど、こちらを覚えやすいと書かれている。,pasture_mark_warning,CL-009,,,,,,,,marked 予告
FINT-105,FIELD-W01-001,point,tower_gate,10,always,,tower_gate_seen,,,,,FIELD-VIL-001,first_crossing_return,down,塔前の冷たい風が戻ってくる。越境の記録だけを持ち帰った。,戻り門
FINT-106,FIELD-W01-001,point,merchant_counter,10,always,,,,NPC-W01-009,merchant,w01_general_store,,,,,名伏せの野の雑貨屋
FINT-107,FIELD-W01-001,point,healer_counter,10,always,,,,NPC-W01-010,healer,w01_field_healer,,,,,名伏せの野の手当て役
