service_id,slug,registry_id,name_jp,name_en,service_category,scope_id,pricing_basis,base_price,effect_key,effect_value,uses_per_reset,story_gate_flag,status,tags,notes
service_w12_restoration,w12_restoration,SVC-W12-HEAL,骨樋の港 手当て,Bone Flume Port Restoration,party_restore,W-012,per_party,50,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W12-009 legacy_alias=SVC-W12-HEAL
service_w13_restoration,w13_restoration,SVC-W13-HEAL,無籍の葡萄段 手当て,Unregistered Vine Terraces Restoration,party_restore,W-013,per_party,50,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W13-007 legacy_alias=SVC-W13-HEAL
service_w14_breeding,w14_breeding,SVC-W14-BREED,返らずの鏡森 配合相談,Mirrorwood Of No Return Breeding Assist,fusion_assist,W-014,flat,345,open_breeding,standard,,,active,breed|facility,keeper=NPC-W14-010 legacy_alias=SVC-W14-BREED
service_w14_restoration,w14_restoration,SVC-W14-HEAL,返らずの鏡森 手当て,Mirrorwood Of No Return Restoration,party_restore,W-014,per_party,66,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W14-007 legacy_alias=SVC-W14-HEAL
service_w15_restoration,w15_restoration,SVC-W15-HEAL,黒布の巡礼路 手当て,Blackcloth Pilgrim Road Restoration,party_restore,W-015,per_party,66,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W15-007 legacy_alias=SVC-W15-HEAL
service_w16_restoration,w16_restoration,SVC-W16-HEAL,焼継の鍛土 手当て,Kintsugi Forge Soil Restoration,party_restore,W-016,per_party,66,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W16-006 legacy_alias=SVC-W16-HEAL
service_w17_breeding,w17_breeding,SVC-W17-BREED,残名の回廊 配合相談,Corridor Of Lingering Names Breeding Assist,fusion_assist,W-017,flat,345,open_breeding,standard,,,active,breed|facility,keeper=NPC-W17-014 legacy_alias=SVC-W17-BREED
service_w17_restoration,w17_restoration,SVC-W17-HEAL,残名の回廊 手当て,Corridor Of Lingering Names Restoration,party_restore,W-017,per_party,66,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W17-008 legacy_alias=SVC-W17-HEAL
service_w18_arena_entry,w18_arena_entry,SVC-W18-ARENA,二署の法台 闘技受付,Dual Seal Tribunal Arena Entry,tournament_entry,W-018,per_attempt,180,open_arena,entry,,,active,arena|facility,keeper=NPC-W18-011 legacy_alias=SVC-W18-ARENA
service_w18_breeding,w18_breeding,SVC-W18-BREED,二署の法台 配合相談,Dual Seal Tribunal Breeding Assist,fusion_assist,W-018,flat,345,open_breeding,standard,,,active,breed|facility,keeper=NPC-W18-012 legacy_alias=SVC-W18-BREED
service_w18_restoration,w18_restoration,SVC-W18-HEAL,二署の法台 手当て,Dual Seal Tribunal Restoration,party_restore,W-018,per_party,66,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W18-008 legacy_alias=SVC-W18-HEAL
service_w19_arena_entry,w19_arena_entry,SVC-W19-ARENA,閉鐘の塔都 闘技受付,Tower City Of Silent Bells Arena Entry,tournament_entry,W-019,per_attempt,200,open_arena,entry,,,active,arena|facility,keeper=NPC-W19-012 legacy_alias=SVC-W19-ARENA
service_w19_breeding,w19_breeding,SVC-W19-BREED,閉鐘の塔都 配合相談,Tower City Of Silent Bells Breeding Assist,fusion_assist,W-019,flat,380,open_breeding,standard,,,active,breed|facility,keeper=NPC-W19-013 legacy_alias=SVC-W19-BREED
service_w19_restoration,w19_restoration,SVC-W19-HEAL,閉鐘の塔都 手当て,Tower City Of Silent Bells Restoration,party_restore,W-019,per_party,82,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W19-008 legacy_alias=SVC-W19-HEAL
service_w20_arena_entry,w20_arena_entry,SVC-W20-ARENA,継ぎ止めの聖郭 闘技受付,Cathedral Of Continuance Arena Entry,tournament_entry,W-020,per_attempt,200,open_arena,entry,,,active,arena|facility,keeper=NPC-W20-016 legacy_alias=SVC-W20-ARENA
service_w20_breeding,w20_breeding,SVC-W20-BREED,継ぎ止めの聖郭 配合相談,Cathedral Of Continuance Breeding Assist,fusion_assist,W-020,flat,380,open_breeding,standard,,,active,breed|facility,keeper=NPC-W20-017 legacy_alias=SVC-W20-BREED
service_w20_restoration,w20_restoration,SVC-W20-HEAL,継ぎ止めの聖郭 手当て,Cathedral Of Continuance Restoration,party_restore,W-020,per_party,82,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W20-010 legacy_alias=SVC-W20-HEAL
service_w21_restoration,w21_restoration,SVC-W21-HEAL,ほどけの縁 手当て,Edge Of Unraveling Restoration,party_restore,W-021,per_party,82,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W21-012 legacy_alias=SVC-W21-HEAL
